Anonymized Message,Valence1,Valence2,Arousal1,Arousal2
"thinks that for girls, boys are easily found. But GIRLS don't realize they need MEN!!",4,3,6,7
Our Wedding Anniversary tonight...,7,7,4,5
Just sip some crystal with these real ones,5,5,3,1
Believe The Hype for Raleigh! Snip3down is going to go off!!,6,8,7,8
So happy <PERSON> is the bomb,6,8,5,3
Happy happy happy new year to everybody!! I have optimistic hopes for 2010.,8,9,8,8
I can't believe Michael Jackson is dead! ):,2,2,6,7
would like to send a shout out and thanks to his little helper this weekend.,7,7,3,1
Finally 100% FIT......,8,7,4,3
"Am I my thoughts, the thoughts that I am thinking? No.  Thoughts come and go;  I am not my thoughts. Am I my body?  They tell us that millions of cells in our body are changed or are renewed every minute, sothat by the end of seven years we don't havea single living cell in our body that was there seven years before.  Cells come and go.  Cells arise and die.  But I\ seems to persist.  So am I my body?  Evidently not\""""",4,5,5,3
got a new # if you want it let me know.,5,5,2,1
"Ergh, Anatomy, 16 page outline AND 15 pages of pictures to label by TOMORROW, I curse you procrastination. May you rot forever in purgatory",3,3,4,5
i bought my wedding dress monday and i cant wait to have it on again!!!! its sooo beautiful,8,8,7,9
"Pleading... if anyone would like to do a tax credit, instead of paying what you would pay to the State, our Kindergartners really would like to go on a field trip to the pumpkin patch & with district cuts, we have to pay for our own bus.  Email me for more info - 23 kinders would be grateful!  Thanks",5,4,3,3
"6 down, 3 to go, come on S4S! Make me a happy guy! :)",7,8,6,8
Got my new tat! I got it on my cest. I didnt get to finish it cuz it hurt too fucking much. Fuckin awesome lookin tho,7,7,7,9
ABCDEFUCK,3,3,4,5
Big weekend coming up. My band are performing at the Bay of IslandS Country Rock Festival... YEEEEHHHAAAAAAA!!!,8,7,9,7
is looking for a job here in Indy...Any suggestions?????,5,5,4,3
"Successful people do not focus on the Problem. They only focus on the Solution\. Be Focused on Solution.\""""",4,5,4,2
Reggie Bush is the MAN!!!!,7,7,7,8
Driving to cape may for the weekend now. So bored...,4,3,3,1
"ATTENTION EVERYONE---There's a site called <URL> that's a new online phone book w/personal information: everything from pics you've posted on FB or web, your approx credit score, home value, income, age, etc. You can remove yourself by first searching for yourself on their site to find the URL of your page, then going to the Privacy button on the bottom of their page to remove yourself. Copy & repost",5,5,5,1
is contemplating how to spend his Xbox points...,5,5,2,1
school be messed up,3,2,3,3
florida virtual school sux ass,3,1,4,4
Finally got a working phone again....and its nice!,7,7,6,5
"<PERSON>       No matter what your party is, this is not the time to point fingers.  This woman and many other people were attacked by a person that should have been out of society.  I have everyone in my prayers to include <PERSON>, and I am a hardcore conservitive.  Remember that this is America and we can all think differently, this should not result in what happened today.  God be with you",3,7,4,1
"Thanks for the B-day wishes everybody! I had a great day...Saints mopped the floor with the Giants(5-0 Woo, Hoo!), then we had sushi! Who could ask for more?!",7,9,6,9
cause she is an american ggggiiiirrrlll!!!! got to give it up for tom petty,6,6,6,8
"yea, JETS.. shut up",5,4,4,2
is fixin' to have a party this halloween.,6,5,2,1
I have had a amazing day. Thanks for your encouragement <PERSON>. I am on fire. I then got to go to a christian concert in Sedalia to see <PERSON> he sings my savior lives. There was also <PLACE> Weave and it was life changing and wonderful and I am so thankful and blessed.,6,9,4,4
an edition of 14 was completed today... that was nice. :D  Now just one more edition of 5.  But for now: shower time then Symbolic Logic time... yeesh....,6,6,5,2
So ive learned that things are weird not a bad  weird but a good weird,6,7,3,1
Someone should make a <PERSON> Facts website to compete against Chuck Norris.,5,5,2,1
"doesn't like to be reminded of that i-know-wat's-gd-for-u\ attitude that gahment institutions display\""""",3,2,3,4
"Just got back from handling class/shopping a little while ago. I was trying on some heals for my rotc uniform, which was a bad idea since my ankle got irritated in class. When i put the heals on, i could barly walk in them and my hurt ankle was litterally popping and rolling.... So much for getting better. :/",3,2,4,3
"i honestly never saw the enjoyment in watching people do physical activity, such as play football, who cares?",5,3,4,3
I have no patience... hahaha....,5,5,4,3
TOTP this sat,4,6,4,1
Has Anyone Else Realized That The People On Family Guy Only Have 4 Fingers?,5,5,5,1
: Many of the great achievements of the world were accomplished by tired and discouraged men who kept on working,6,7,4,1
"I'm hoping to go to the zoo and Great wolf....I hope I can, I hope I can......................",6,6,3,4
"It's true that we don't know what we've got until we lose it, but it's         also true that we don't know what we've been missing until it arrives.",5,5,3,1
Ok. All done with the beach today. Might do the Promenade tonight or tomorrow.,6,5,2,1
6 hrs until mid night release for black ops.,6,6,2,1
"Happy bday to my angel <PERSON>...I miss you and love you. See you soon...\""""",7,8,6,4
