Anonymized Message,Valence1,Valence2,Arousal1,Arousal2,Predicted Valence,Predicted Arousal
We'll be off and running to a lil' place called SILVERWOOD today! Can't wait! :),9,9,8,8,5.8048,3.9312
I really wana move soon!,4,5,5,7,6.247999999999999,6.176
thinking at charity cup,5,5,1,1,7.013333333333333,3.0239999999999996
"thinks that for girls, boys are easily found. But GIRLS don't realize they need MEN!!",4,3,6,7,6.970000000000001,4.522
Our Wedding Anniversary tonight...,7,7,4,5,8.02,7.288
Just sip some crystal with these real ones,5,5,3,1,5.565333333333334,4.093333333333334
Believe The Hype for Raleigh! Snip3down is going to go off!!,6,8,7,8,5.436,4.276
I would like to thank all of my family and friends that came out and celebrated as well as  showered my new lil man with love and gifts. It was great! O how I love my family and friends.,8,9,6,5,8.009714285714285,4.982285714285714
Holy shit... Still playing with go to meeting.... Tech support.... Help... Help.   Mama's tired,3,5,6,5,5.4782222222222225,4.575111111111111
So happy <PERSON> is the bomb,6,8,5,3,5.668,7.588
getting ready for the big move people,7,5,6,5,6.664,5.046
Happy happy happy new year to everybody!! I have optimistic hopes for 2010.,8,9,8,8,8.111999999999998,5.448
I can't believe Michael Jackson is dead! ):,2,2,6,7,4.332,4.295999999999999
"HELP! im looking for a childbirth class, preferably on weekdays.  Found <PERSON>, but she's only offering Sunday morning classes, and she's starting this Sunday. ANY SUGGESTIONS? thanks!",5,5,6,7,6.877333333333333,4.247111111111112
Is exhausted. I think <PERSON> has colic. She wrenches her back and cries forever. Mostly in the morning though and right before bed. Ouy!,3,3,7,4,5.016,4.062857142857142
would like to send a shout out and thanks to his little helper this weekend.,7,7,3,1,5.955,4.865
Finally 100% FIT......,8,7,4,3,5.747999999999999,4.532
Making smores with the kids! They want to camp out tonight!!!!!! LOL!!! Let's see how that goes!!!!!!!!,8,7,9,9,6.529999999999999,5.056
"What a weekend? EAT, EAT and EAT some more, BBQ TIME!!!!",8,8,8,9,6.8256,4.8608
"When youÃ¢â‚¬â„¢re sad and alone, the only one you can truly depend on is yourself. Ã¢â‚¬â€ Zetsu",3,2,2,3,4.4399999999999995,3.5296
around..,5,5,1,1,1.0,1.0
going to atl this weekend to see my mawmaw,7,7,4,2,6.916,4.576
"Am I my thoughts, the thoughts that I am thinking? No.  Thoughts come and go;  I am not my thoughts. Am I my body?  They tell us that millions of cells in our body are changed or are renewed every minute, sothat by the end of seven years we don't havea single living cell in our body that was there seven years before.  Cells come and go.  Cells arise and die.  But I\ seems to persist.  So am I my body?  Evidently not\""""",4,5,5,3,5.850962962962964,4.2506666666666675
3 more days,5,5,2,1,1.0,1.0
got a new # if you want it let me know.,5,5,2,1,6.5600000000000005,4.732
"Ergh, Anatomy, 16 page outline AND 15 pages of pictures to label by TOMORROW, I curse you procrastination. May you rot forever in purgatory",3,3,4,5,4.748363636363635,4.292363636363636
i bought my wedding dress monday and i cant wait to have it on again!!!! its sooo beautiful,8,8,7,9,6.5856,4.6352
Hot pot!,7,5,7,8,4.96,4.704000000000001
"Pleading... if anyone would like to do a tax credit, instead of paying what you would pay to the State, our Kindergartners really would like to go on a field trip to the pumpkin patch & with district cuts, we have to pay for our own bus.  Email me for more info - 23 kinders would be grateful!  Thanks",5,4,3,3,5.86464,4.23488
"In memory of every cancer patient, family members & friends who has lost their battle with cancer, and in honpor of those who continue to conquer!  Put this up for 1 hour if you love someone who has or had cancer. Many won't copy & paste. I am proud to. Will you?",6,4,3,6,5.423111111111111,5.239999999999999
"6 down, 3 to go, come on S4S! Make me a happy guy! :)",7,8,6,8,5.685333333333333,4.416
Pancakes were apperantly good <PERSON> :D:D i hope we dont get sick after them :D,6,8,5,6,6.6848,4.332800000000001
Got my new tat! I got it on my cest. I didnt get to finish it cuz it hurt too fucking much. Fuckin awesome lookin tho,7,7,7,9,5.374857142857143,6.0
ABCDEFUCK,3,3,4,5,1.0,1.0
Big weekend coming up. My band are performing at the Bay of IslandS Country Rock Festival... YEEEEHHHAAAAAAA!!!,8,7,9,7,6.857000000000001,4.883000000000001
is looking for a job here in Indy...Any suggestions?????,5,5,4,3,6.5520000000000005,5.328
"Successful people do not focus on the Problem. They only focus on the Solution\. Be Focused on Solution.\""""",4,5,4,2,6.257777777777778,4.553777777777778
Reggie Bush is the MAN!!!!,7,7,7,8,5.404,3.588
I never thought it would happen to me! A co-worker just asked me if I was having a case of the Mondays!,4,5,6,6,5.7540000000000004,4.344
